review,sentiment
"I love this product, it is wonderful and exactly as described",1
Absolutely fantastic! Best purchase I've made.,1
"This is the greatest thing ever, highly recommend it.",1
"I am very pleased with this product, will buy again!",1
What an amazing product! Exceeded my expectations.,1
"Terrible. It broke after one use, do not buy this.",0
"I hate this. Worst product ever, complete waste of money.",0
Very disappointed. The item is defective and low quality.,0
"Awful experience, product didn't work at all.",0
Not worth the money. I will never buy this again.,0
"Quite good, I'm happy with the service and the product.",1
"The product is okay, nothing special but it works as expected.",1
Simply outstanding. I love the results this gives me!,1
"Excellent quality, very satisfied with this purchase.",1
"Not worth the hype, returns to sender.",0
"Dreadful quality, not recommended.",0
One of the worst purchases I have made.,0
